Preprocessing,Algorithm,Calinski-Harabasz (Clusters=3),Calinski-Harabasz (Clusters=4),Calinski-Harabasz (Clusters=5),Davies-Bouldin (Clusters=3),Davies-Bouldin (Clusters=4),Davies-Bouldin (Clusters=5),Silhouette (Clusters=3),Silhouette (Clusters=4),Silhouette (Clusters=5)
No Data Processing,Hierarchical,1089.9294356799096,1245.5676253126308,1541.8594977639382,0.6314289134608407,0.6090629759960557,0.6114068077601044,0.5082541979862977,0.5090031014228603,0.5114445846680877
No Data Processing,K-Means,1253.8645507575184,1465.6728614582266,1621.0110530063253,0.5727505055537576,0.617693110569089,0.6145008756140762,0.6695939093799408,0.5334614737117133,0.510229299790784
No Data Processing,Mean Shift,637.9866102587793,637.9866102587793,637.9866102587793,0.5121912464490965,0.5121912464490965,0.5121912464490965,0.6269815369508928,0.6269815369508928,0.6269815369508928
Using Normalization,Hierarchical,235.84271935764409,185.18591201280904,158.2103032901514,1.466151952485386,1.914650588397152,1.855835589411101,0.3353455059391662,0.1366051787922194,0.1280067840765835
Using Normalization,K-Means,253.29520998737712,202.6430223760817,178.25254068975752,1.4572686230323058,1.4768178948467825,1.7225838719155562,0.3323932440359229,0.2084356964012293,0.1676660672718536
Using Normalization,Mean Shift,31.3686589762133,31.3686589762133,31.3686589762133,1.1692103378691303,1.1692103378691303,1.1692103378691303,0.2856835286821924,0.2856835286821924,0.2856835286821924
Using Normalization + PCA,Hierarchical,512.2233755648799,448.8993116493256,419.6172672027961,1.0580002628064282,0.9299390836337816,0.8824709436776772,0.4317897608691126,0.3297309796346543,0.345879820344017
Using Normalization + PCA,K-Means,563.778202419727,504.60239684797307,489.0532775528322,0.927876605992084,0.8862280367984059,0.9802190703072527,0.479327870491929,0.3889205689599332,0.3394321788083045
Using Normalization + PCA,Mean Shift,186.64038612068305,186.64038612068305,186.64038612068305,0.6806517591952177,0.6806517591952177,0.6806517591952177,0.4989681089972707,0.4989681089972707,0.4989681089972707
Using PCA,Hierarchical,1089.9401953267425,1369.4194498211164,1421.9064793254645,0.6150823066379716,0.5861939649455624,0.5923079731818459,0.5188638624299644,0.5273895388735976,0.4784053907499676
Using PCA,K-Means,1265.2537453382035,1485.793460925415,1649.1968485860682,0.56790373338951,0.6118192086451526,0.6113020445397153,0.6710100390313819,0.5366126120762759,0.5166104285353057
Using PCA,Mean Shift,642.019847810513,642.019847810513,642.019847810513,0.512252072781345,0.512252072781345,0.512252072781345,0.6289495181473839,0.6289495181473839,0.6289495181473839
